,word,variant
339,armored,A
340,armoured,B
341,armoring,A
342,armouring,B
343,armors,A
344,armours,B
345,armor's,A
346,armour's,B
347,armorer,A
348,armourer,B
349,armorers,A
350,armourers,B
351,armorer's,A
352,armourer's,B
353,armory,A
354,armoury,B
355,armories,A
356,armouries,B
357,armory's,A
358,armoury's,B
359,aromatisation,B
360,aromatisation's,B
361,aromatise,B
362,aromatised,B
363,aromatising,B
364,aromatises,B
365,arterialisation,B
366,arterialisations,B
367,arterialisation's,B
368,arterialise,B
369,arterialised,B
370,arterialising,B
371,arterialises,B
372,artifact,A
373,artefact,B
374,artifact's,A
375,artefact's,B
376,artifacts,A
377,artefacts,B
378,asafetida,A
379,asafoetida,B
380,asafetidas,A
381,asafoetidas,B
382,asafetida's,A
383,asafoetida's,B
384,asshole,A
385,arsehole,B
386,assholes,A
387,arseholes,B
388,asshole's,A
389,arsehole's,B
390,atomisation,B
391,atomisations,B
392,atomisation's,B
393,atomise,B
394,atomised,B
395,atomising,B
396,atomises,B
397,atomiser,B
398,atomisers,B
399,atomiser's,B
400,attitudinise,B
401,attitudinised,B
402,attitudinising,B
403,attitudinises,B
404,attitudinisings,B
405,authorisation,B
406,authorisations,B
407,authorisation's,B
408,authorise,B
409,authorised,B
410,authorising,B
411,authorises,B
412,automatisation,B
413,automatisations,B
414,automatisation's,B
415,automatise,B
416,automatised,B
417,automatising,B
418,automatises,B
419,ax,A
420,axe,B
421,ax's,A
422,axe's,B
423,balk,A
424,baulk,B
425,balk's,A
426,baulk's,B
427,balked,A
428,baulked,B
429,balking,A
430,baulking,B
431,balks,A
432,baulks,B
433,balkanisation,B
434,balkanisations,B
435,balkanisation's,B
436,balkanise,B
437,balkanised,B
438,balkanising,B
439,balkanises,B
440,baptise,B
441,baptised,B
442,baptising,B
443,baptises,B
444,baptiser,B
445,baptisers,B
446,baptiser's,B
447,barbarisation,B
448,barbarisations,B
449,barbarisation's,B
450,barbarise,B
451,barbarised,B
452,barbarising,B
453,barbarises,B
454,barreled,A
455,barrelled,B
456,barreling,A
457,barrelling,B
458,bastardisation,B
459,bastardisations,B
460,bastardisation's,B
461,bastardise,B
462,bastardised,B
463,bastardising,B
464,bastardises,B
465,bedeviled,A
466,bedevilled,B
467,bedeviling,A
468,bedevilling,B
469,behavior,A
