,word,variant
344,breathalyzers,A
345,breathalysers,B
346,brier,A
347,briar,B
348,briers,A
349,briars,B
350,brier's,A
351,briar's,B
352,caftan,A
353,kaftan,B
354,caftans,A
355,kaftans,B
356,caftan's,A
357,kaftan's,B
358,caliber,A
359,calibre,B
360,calibers,A
361,calibres,B
362,caliber's,A
363,calibre's,B
364,canceled,A
365,cancelled,B
366,canceling,A
367,cancelling,B
368,canceler,A
369,canceller,B
370,cancelers,A
371,cancellers,B
372,canceler's,A
373,canceller's,B
374,candor,A
375,candour,B
376,candors,A
377,candours,B
378,candor's,A
379,candour's,B
380,caroled,A
381,carolled,B
382,caroling,A
383,carolling,B
384,caroler,A
385,caroller,B
386,carolers,A
387,carollers,B
388,caroler's,A
389,caroller's,B
390,catalog,A
391,catalogue,B
392,cataloged,A
393,catalogued,B
394,cataloging,A
395,cataloguing,B
396,catalogs,A
397,catalogues,B
398,catalog's,A
399,catalogue's,B
400,cataloger,A
401,cataloguer,B
402,catalogers,A
403,cataloguers,B
404,cataloger's,A
405,cataloguer's,B
406,catalyze,A
407,catalyse,B
408,catalyzed,A
409,catalysed,B
410,catalyzing,A
411,catalysing,B
412,catalyzes,A
413,caviled,A
414,cavilled,B
415,caviling,A
416,cavilling,B
417,cavilings,A
418,cavillings,B
419,caviler,A
420,caviller,B
421,cavilers,A
422,cavillers,B
423,caviler's,A
424,caviller's,B
425,celom,A
426,coelom,B
427,coeloms,B
428,celoms,A
429,celom's,A
430,coelom's,B
431,cenobite,A
432,coenobite,B
433,cenobites,A
434,coenobites,B
435,cenobite's,A
436,coenobite's,B
437,cenobitic,A
438,coenobitic,B
439,cenobitical,A
440,coenobitical,B
441,center,A
442,centre,B
443,centered,A
444,centred,B
445,centering,A
446,centring,B
447,center's,A
448,centre's,B
449,centerings,A
450,centrings,B
451,centering's,A
452,centring's,B
453,centers,A
454,centres,B
455,centerboard,A
456,centreboard,B
457,centerboards,A
458,centreboards,B
459,centerboard's,A
460,centreboard's,B
461,centerfold,A
462,centrefold,B
463,centerfolds,A
464,centrefolds,B
465,centerfold's,A
466,centrefold's,B
467,centerpiece,A
468,centrepiece,B
469,centerpieces,A
470,centrepieces,B
471,centerpiece's,A
472,centrepiece's,B
473,centiliter,A
474,centilitre,B
475,centiliters,A
476,centilitres,B
477,centiliter's,A
478,centilitre's,B
479,centimeter,A
480,centimetre,B
481,centimeters,A
482,centimetres,B
483,centimeter's,A
484,centimetre's,B
485,cesium,A
486,caesium,B
487,cesiums,A
488,caesiums,B
489,cesium's,A
490,caesium's,B
491,cesural,A
492,caesural,B
493,channeled,A
494,channelled,B
495,channeling,A
496,channelling,B
497,chaperon,A
498,chaperone,B
499,chaperons,A
500,chaperones,B
501,chaperon's,A
502,chaperone's,B
503,checkbook,A
504,chequebook,B
505,checkbooks,A
506,chequebooks,B
507,checkbook's,A
508,chequebook's,B
509,checkerboard,A
510,chequerboard,B
511,checkerboards,A
512,chequerboards,B
513,checkerboard's,A
514,chequerboard's,B
515,chilli,B
516,chili,A
517,chilli's,B
518,chili's,A
519,chiseled,A
520,chiselled,B
521,chiseling,A
522,chiselling,B
523,chiseler,A
524,chiseller,B
525,chiselers,A
526,chisellers,B
527,chiseler's,A
528,chiseller's,B
529,chocolaty,A
530,chocolatey,B
531,clamor,A
532,clamour,B
533,clamored,A
534,clamoured,B
535,clamoring,A
536,clamouring,B
537,clamors,A
538,clamours,B
539,clamor's,A
540,clamour's,B
541,clangor,A
542,clangour,B
543,clangored,A
